Index;QuestionValue;Answer;Level;Note
1;س: ما ىو المد المتّصل وكم حركة يُمد؟;ج: ىو أن يجتمع حرف المد وبعده اليمز في كممة واحدة مثالو قولو تعالى: {أُوْلَئِكَ .} ويُمد بمقدار خمس حركات وجوباً;2;
2;س: ما ىو المد المنفصل وكم حركة يُمد؟;ج: ىو أن يأتي حرف المد في آخر كممة وبعده اليمز في أول كممة أخرى مثالو {بِمَا أُنزِلَ .} ويُمد بمقدار خمس حركات جوازاً;2;
3;س: إلى كم ينقسم المد اللازم؟;ج: ينقسم إلى قسمين: مد لازم كممي ومد لازم حرفي )أي إما واقع في كممو واما واقع في حرف.( وكل من الكممي والحرفي إما مثقل  واما مخفّف;2;
4;س: إلى كم ينقسم المد اللازم؟;ج: ينقسم إلى قسمين: مد لازم كممي ومد لازم حرفي )أي إما واقع في كممو واما واقع في حرف.( وكل من الكممي والحرفي إما مثقل  واما مخفّف;2;
5;;;;
6;;;;
7;;;;
8;;;;
9;;;;
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
16;;;;
17;;;;
18;;;;
19;;;;
20;;;;
21;;;;
22;;;;
23;;;;
24;;;;
25;;;;
26;;;;
27;;;;
28;;;;
29;;;;
30;;;;
31;;;;
32;;;;
33;;;;
34;;;;
35;;;;
36;;;;
37;;;;
38;;;;
39;;;;
40;;;;
41;;;;
42;;;;
43;;;;
44;;;;
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;;;;
53;;;;
54;;;;
55;;;;
56;;;;
57;;;;
58;;;;
59;;;;
60;;;;
61;;;;
62;;;;
63;;;;
64;;;;
65;;;;
66;;;;
67;;;;
68;;;;
69;;;;
70;;;;
71;;;;
72;;;;
73;;;;
74;;;;
75;;;;
76;;;;
77;;;;
78;;;;
79;;;;
80;;;;
81;;;;
82;;;;
83;;;;
84;;;;
85;;;;
86;;;;
87;;;;
88;;;;
89;;;;
90;;;;
91;;;;
92;;;;
93;;;;
94;;;;
95;;;;
96;;;;
97;;;;
98;;;;
99;;;;
100;;;;
